rep,lv,alp,num_cell,cell_size,sparse_freq,error
0,4,0.1,200,2,2,43.009453288836276
0,4,0.1,200,2,4,53.442288511009195
0,4,0.1,200,2,8,66.14843034907544
0,4,0.1,200,4,2,32.46132583110454
0,4,0.1,200,4,4,83.90238571503384
0,4,0.1,200,4,8,126.75533384277276
0,4,0.1,200,8,2,25.700976769554494
0,4,0.1,200,8,4,91.65546301143925
0,4,0.1,200,8,8,154.0798822033314
0,4,0.1,500,2,2,9.857062357224336
0,4,0.1,500,2,4,16.644029324601753
0,4,0.1,500,2,8,35.854896202548915
0,4,0.1,500,4,2,10.501584977913565
0,4,0.1,500,4,4,78.49610645818976
0,4,0.1,500,4,8,121.70029859043878
0,4,0.1,500,8,2,10.207180741825288
0,4,0.1,500,8,4,19.42530425433628
0,4,0.1,500,8,8,109.12227315215848
0,4,1.0,50,2,2,57.32331015703489
0,4,1.0,50,2,4,57.16280728242334
0,4,1.0,50,2,8,59.557848561603244
0,4,1.0,50,4,2,52.894871614219056
0,4,1.0,50,4,4,54.79285001262577
0,4,1.0,50,4,8,71.25523143100878
0,4,1.0,50,8,2,47.128780628199756
0,4,1.0,50,8,4,49.9161537963469
0,4,1.0,50,8,8,93.74575755374838
0,4,1.0,100,2,2,32.32263048401615
0,4,1.0,100,2,4,30.136647675406305
0,4,1.0,100,2,8,29.297697514495553
0,4,1.0,100,4,2,24.402469278681053
0,4,1.0,100,4,4,21.76420997242668
0,4,1.0,100,4,8,54.05418231461747
0,4,1.0,100,8,2,20.780724173181866
0,4,1.0,100,8,4,21.15941709988335
0,4,1.0,100,8,8,59.51083429253332
0,4,1.0,200,2,2,17.408384236793484
0,4,1.0,200,2,4,17.12692004946772
0,4,1.0,200,2,8,18.08914584545696
0,4,1.0,200,4,2,14.77034378137225
0,4,1.0,200,4,4,17.87028996228605
0,4,1.0,200,4,8,48.63782871344082
0,4,1.0,200,8,2,14.003570782462015
0,4,1.0,200,8,4,17.642863210188363
0,4,1.0,200,8,8,30.359708665397346
0,4,1.0,500,2,2,11.571410503743378
0,4,1.0,500,2,4,14.01603638588524
0,4,1.0,500,2,8,15.459413242234954
0,4,1.0,500,4,2,12.082506576842546
0,4,1.0,500,4,4,16.623564464572947
0,4,1.0,500,4,8,46.097594847588546
0,4,1.0,500,8,2,12.078997937002447
0,4,1.0,500,8,4,16.682835987971664
0,4,1.0,500,8,8,24.758028288864146
0,4,10.0,50,2,2,63.61068264716532
0,4,10.0,50,2,4,48.96924719834986
0,4,10.0,50,2,8,43.86732572294285
