,classical_samp,alpha,repetition,error
266,200,1.0,9,34.30035042268288
267,500,1.0,9,23.638654727021027
268,50,10.0,9,49.87079815525267
269,100,10.0,9,40.71730387423546
270,200,10.0,9,32.51025256933267
271,500,10.0,9,23.741287641102154
272,50,100.0,9,41.2300078491471
273,100,100.0,9,37.607096676592995
274,200,100.0,9,36.16025426555514
275,500,100.0,9,31.058785455077857
276,50,1000.0,9,64.66872631313348
277,100,1000.0,9,62.954055877036566
278,200,1000.0,9,58.5326117664038
279,500,1000.0,9,62.021309356025746
280,50,0.001,10,62.8933117107364
281,100,0.001,10,51.77280595480349
282,200,0.001,10,42.511399422318874
283,500,0.001,10,29.53843825260477
284,50,0.01,10,57.661842967977805
285,100,0.01,10,52.10156469108333
286,200,0.01,10,41.47909941469372
287,500,0.01,10,30.73510336895615
288,50,0.1,10,62.01827562867933
289,100,0.1,10,50.508609680292594
290,200,0.1,10,37.17413361346939
291,500,0.1,10,24.074431883416867
292,50,1.0,10,53.572858917388054
293,100,1.0,10,36.33664805194342
294,200,1.0,10,31.953011920605984
295,500,1.0,10,23.55847443069467
296,50,10.0,10,48.45451703675189
297,100,10.0,10,41.32521427957184
298,200,10.0,10,35.08290124988643
299,500,10.0,10,23.644857399502122
300,50,100.0,10,47.50365618427053
301,100,100.0,10,35.183306097910716
302,200,100.0,10,31.897597503595712
303,500,100.0,10,29.837446585117284
304,50,1000.0,10,62.572588870319606
305,100,1000.0,10,62.07328870320806
306,200,1000.0,10,62.11481051591508
307,500,1000.0,10,60.05819232314786
308,50,0.001,11,53.159878178041744
309,100,0.001,11,50.6346547303777
310,200,0.001,11,41.32181690434918
311,500,0.001,11,31.21852969120204
312,50,0.01,11,67.1100889231302
313,100,0.01,11,54.00049874883833
314,200,0.01,11,43.31573630923947
315,500,0.01,11,27.31239329931893
316,50,0.1,11,55.80080012482583
317,100,0.1,11,45.26447974192568
318,200,0.1,11,35.94304076735627
319,500,0.1,11,24.54977004558507
320,50,1.0,11,44.4235773734651
321,100,1.0,11,35.747513338857324
322,200,1.0,11,32.11100238095549
323,500,1.0,11,23.967902943186264
324,50,10.0,11,47.370173442323065
325,100,10.0,11,38.04753562116999
326,200,10.0,11,34.48886642467292
327,500,10.0,11,24.375066094930602
328,50,100.0,11,47.92221630273293
329,100,100.0,11,38.93704294391526
330,200,100.0,11,32.682113732953376
331,500,100.0,11,28.414515646229177
332,50,1000.0,11,61.4204451120035
333,100,1000.0,11,65.96046916931124
334,200,1000.0,11,57.696029729389224
335,500,1000.0,11,63.271431905467836
336,50,0.001,12,65.12634553915103
337,100,0.001,12,58.33442730438454
338,200,0.001,12,42.664081263424556
339,500,0.001,12,29.15603314430257
340,50,0.01,12,58.940136737276944
341,100,0.01,12,54.47920967173472
342,200,0.01,12,45.27894485213634
343,500,0.01,12,26.25992560605737
344,50,0.1,12,57.620505142512
345,100,0.1,12,46.342029665024576
346,200,0.1,12,38.28593704486108
347,500,0.1,12,24.30564026802803
348,50,1.0,12,40.0968432807499
349,100,1.0,12,40.59496377586175
350,200,1.0,12,33.19796035620136
